"islands.combo","fst.dist","p.value","geo.dist","fv","neg.resid"
"Rakiura:Normanby_Island",0.34051,0.04492,4391.86930668077,0.452496571897807,-0.111986571897807
"Reiono:Aotea",0.40616,0,4049.71544366205,0.446034746442805,-0.0398747464428048
"Reiono:Borneo",0.44001,0,10358.768836845,0.565185825005404,-0.125175825005404
"Reiono:Doubtful_Sound",0.53231,0.03906,5101.11025044407,0.465891104824326,0.0664188951756742
"Reiono:Great_Mercury_Island",0.43204,0.04688,4024.61367861066,0.445560681287019,-0.0135206812870194
"Reiono:Halmahera",0.47154,0,9270.78613693864,0.544638477555251,-0.0730984775552513
"Reiono:Hatutaa",0.32015,0,1403.19196566189,0.396053218756625,-0.0759032187566253
"Reiono:Honuea",0.51162,0,5.83173280719284,0.369663050769614,0.141956949230386
"Reiono:Kaikura_Island",0.36942,0,4056.77998085169,0.446168165384321,-0.0767481653843214
"Reiono:Kamaka",0.45698,0,1702.14400842497,0.40169914630135,0.0552808536986498
"Reiono:Kayangel",0.67796,0,8782.65834343509,0.535419827870788,0.142540172129212
"Reiono:Late_Island",0.30759,0,2659.4385189914,0.419778351901241,-0.112188351901241
"Reiono:Mainland",0.56993,0,12026.1800648129,0.596676103156233,-0.0267461031562326
"Reiono:Malenge",0.50797,0,9839.46734018976,0.555378437181978,-0.0474084371819777
"Reiono:Mohotani",0.32089,0,1387.88630365569,0.395764160157418,-0.0748741601574184
"Reiono:Motukawanui",0.49227,0,4127.51934643216,0.447504129938822,0.0447658700611775
"Reiono:New_Britain",0.43334,0,6681.46121289828,0.495737186312132,-0.0623971863121322
"Reiono:New_Guinea",0.57208,0.00293,6955.33812353369,0.500909551683277,0.0711704483167233
"Reiono:Normanby_Island",0.46025,0.0498,6463.38434694425,0.491618645515497,-0.0313686455154971
"Reiono:Rakiura",0.2986,0,5112.38750990824,0.466104084101033,-0.167504084101033
"Rimatuu:Aotea",0.34416,0,4049.8224040596,0.446036766467987,-0.101876766467987
"Rimatuu:Borneo",0.41736,0,10357.539828064,0.56516261427747,-0.14780261427747
"Rimatuu:Doubtful_Sound",0.47407,0.05566,5101.55266997327,0.465899460240075,0.00817053975992532
"Rimatuu:Great_Mercury_Island",0.34301,0.05859,4024.75129564424,0.445563280285151,-0.102553280285151
"Rimatuu:Halmahera",0.45031,0,9269.40847288684,0.544612459364021,-0.0943024593640206
"Rimatuu:Hatutaa",0.3307,0,1402.84823206651,0.396046727096771,-0.0653467270967715
"Rimatuu:Honuea",0.53366,0,3.69673356193453,0.369622729750445,0.164037270249555
"Rimatuu:Kaikura_Island",0.34998,0,4056.8818271478,0.446170088825965,-0.0961900888259652
"Rimatuu:Kamaka",0.48936,0,1704.07225598211,0.401735562663972,0.0876244373360276
"Rimatuu:Kayangel",0.67788,0,8781.04112333222,0.535389285488671,0.142490714511329
"Rimatuu:Late_Island",0.34591,0,2658.42550505215,0.419759220393559,-0.073849220393559
"Rimatuu:Mainland",0.55072,0,12024.5943854166,0.596646156443382,-0.0459261564433817
"Rimatuu:Malenge",0.4796,0,9838.1857636871,0.555354233674251,-0.0757542336742507
"Rimatuu:Mohotani",0.37763,0,1388.00235600163,0.395766351890683,-0.0181363518906829
"Rimatuu:Motukawanui",0.36987,0,4127.52584901657,0.447504252744876,-0.0776342527448756
"Rimatuu:New_Britain",0.43331,0,6680.0912141687,0.495711312886107,-0.0624013128861068
"Rimatuu:New_Guinea",0.52773,0.00684,6954.00677790287,0.500884408249236,0.0268455917507641
"Rimatuu:Normanby_Island",0.38465,0.05176,6462.15128258123,0.491595358194938,-0.106945358194938
"Rimatuu:Rakiura",0.27915,0,5112.92038815995,0.466114147895786,-0.186964147895786
"Rimatuu:Reiono",0.35578,0,2.18348832069373,0.369594151009486,-0.0138141510094858
"Slipper_Island:Aotea",0.35851,0,101.388435213255,0.371467708845241,-0.0129577088452407
"Slipper_Island:Borneo",0.48473,0,7255.67258946736,0.506581587298665,-0.021851587298665
"Slipper_Island:Doubtful_Sound",0.58345,0.03516,1184.31333411284,0.391919536031487,0.191530463968513
"Slipper_Island:Great_Mercury_Island",0.50237,0.05957,51.8016639763622,0.370531226475049,0.131838773524951
"Slipper_Island:Halmahera",0.50906,0,6518.36365901121,0.492656969955497,0.0164030300445027
"Slipper_Island:Hatutaa",0.38825,0,5443.58143142772,0.472358923060719,-0.0841089230607194
"Slipper_Island:Honuea",0.64074,0,4043.65040964975,0.44592020384837,0.19481979615163
"Slipper_Island:Kaikura_Island",0.36663,0,110.89852983039,0.371647313923887,-0.0050173139238866
"Slipper_Island:Kamaka",0.48731,0,4943.21684465646,0.462909172603267,0.0244008273967333
"Slipper_Island:Kayangel",0.71364,0,6586.88197831188,0.493950988429773,0.219689011570227
"Slipper_Island:Late_Island",0.35966,0,2218.73118130775,0.411455272139039,-0.0517952721390386
"Slipper_Island:Mainland",0.61734,0,9338.01069403299,0.545908062385892,0.0714319376141084
"Slipper_Island:Malenge",0.56298,0,6863.53972389501,0.499175871898749,0.0638041281012513
"Slipper_Island:Mohotani",0.4239,0,5423.19631064735,0.471973935174861,-0.0480739351748607
"Slipper_Island:Motukawanui",0.4005,0,289.66272029319,0.375023406147964,0.0254765938520363
"Slipper_Island:New_Britain",0.52264,0,4344.73423428682,0.451606391649859,0.0710336083501414
"Slipper_Island:New_Guinea",0.65024,0.00488,4478.70850885092,0.454136593618224,0.196103406381776
"Slipper_Island:Normanby_Island",0.5648,0.04297,3902.80282328496,0.443260194369541,0.121539805630459
"Slipper_Island:Rakiura",0.25758,0,1283.61950603805,0.393795005575872,-0.136215005575872
"Slipper_Island:Reiono",0.42587,0,4044.18187588854,0.445930240976228,-0.0200602409762278
"Slipper_Island:Rimatuu",0.38993,0,4044.3472035284,0.445933363309386,-0.0560033633093859
"Sulawesi:Aotea",0.49103,0,6870.25432015904,0.499302681950449,-0.00827268195044933
"Sulawesi:Borneo",0.15189,0,347.225124604658,0.376110514170505,-0.224220514170505
"Sulawesi:Doubtful_Sound",0.53431,0.04004,6686.10902274788,0.495824963593766,0.0384850364062342
"Sulawesi:Great_Mercury_Island",0.44039,0.06445,6925.00839671875,0.500336752653487,-0.0599467526534866
"Sulawesi:Halmahera",0.12484,0,909.265318218774,0.386725053482696,-0.261885053482696
"Sulawesi:Hatutaa",0.47566,0,11025.9956767697,0.577786890913141,-0.102126890913141
"Sulawesi:Honuea",0.59455,0,10007.7050027379,0.55855572824265,0.03599427175735
"Sulawesi:Kaikura_Island",0.5127,0,6859.03125756741,0.499090726221241,0.0136092737787591
"Sulawesi:Kamaka",0.55773,0,11515.5259748035,0.587032027919405,-0.0293020279194048
"Sulawesi:Kayangel",0.48037,0,1924.67941975027,0.405901889981794,0.0744681100182062
"Sulawesi:Late_Island",0.30937,0,7371.5776883209,0.508770539694317,-0.199400539694317
"Sulawesi:Mainland",0.19395,0,2414.11727445333,0.415145281128277,-0.221195281128277
"Sulawesi:Malenge",0.14773,0,245.658702582445,0.37419235815319,-0.22646235815319
"Sulawesi:Mohotani",0.51213,0,11194.1560806049,0.580962722886626,-0.0688327228866261
"Sulawesi:Motukawanui",0.56118,0,6695.05159463737,0.495993850591442,0.0651861494085576
"Sulawesi:New_Britain",0.19298,0,3364.19820491898,0.433088253002482,-0.240108253002482
"Sulawesi:New_Guinea",0.25188,0.00977,3075.55269664423,0.427636971884724,-0.175756971884724
"Sulawesi:Normanby_Island",0.09321,0.31348,3548.3695080822,0.436566462496776,-0.343356462496776
"Sulawesi:Rakiura",0.48117,0,6843.53813533867,0.498798127298897,-0.0176281272988967
"Sulawesi:Reiono",0.49055,0,10011.7528262237,0.558632174343848,-0.0680821743438481
"Sulawesi:Rimatuu",0.4629,0,10010.5204118374,0.558608899298574,-0.095708899298574
"Sulawesi:Slipper_Island",0.52027,0,6944.57493552468,0.500706281021242,0.019563718978758
"Tahanea:Aotea",0.56781,0,4447.65814275238,0.453550184789539,0.114259815210461
"Tahanea:Borneo",0.55637,0,10846.5339073489,0.574397624401253,-0.0180276244012526
"Tahanea:Doubtful_Sound",0.7531,0.03711,5449.41917031179,0.472469173020746,0.280630826979254
"Tahanea:Great_Mercury_Island",0.69653,0.05273,4418.7792702338,0.453004786202173,0.243525213797827
"Tahanea:Halmahera",0.59402,0,9756.76031849612,0.553816454706105,0.0402035452938949
"Tahanea:Hatutaa",0.53335,0,1099.41830006752,0.390316231345234,0.143033768654766
"Tahanea:Honuea",0.74243,0,491.818701114394,0.37884126940757,0.36358873059243
"Tahanea:Kaikura_Island",0.5599,0,4455.33850087646,0.453695233958916,0.106204766041084
"Tahanea:Kamaka",0.65547,0,1290.45053091629,0.393924014466938,0.261545985533062
